class1,class2,evidence,prior_c1,prior_c2,prior_ratio,likelihood_c1,likelihood_c2,likelihood_ratio,posterior_c1,posterior_c2,posterior_ratio,BCE,prior_prompt,likelihood_prompt_c1,likelihood_prompt_c2,posterior_prompt
William Shakespeare.,Oscar Wilde., prose.,1.3573365545919176e-07,1.9035841251362958e-08,7.130425898538805,0.0002239086154021833,0.00021463775031084912,1.043193078001925,2.953598560551824e-07,2.9655162613680587e-08,9.95981239094357,0.29190099239349365,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
William Shakespeare.,Oscar Wilde., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.3573365545919176e-07,1.9035841251362958e-08,7.130425898538805,8.81377840329954e-43,4.716779556202736e-43,1.8686008744481397,1.7106827295728605e-07,3.7693303713473467e-08,4.538426089091727,1.0769806457683444,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
William Shakespeare.,Mark Twain., prose.,1.3573365545919176e-07,1.183164193156505e-08,11.472089524368945,0.0002239086154021833,0.0003050243344427875,0.7340680402146116,2.953598560551824e-07,3.618618717123266e-08,8.162226505311065,0.031246542930603027,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
William Shakespeare.,Mark Twain., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.3573365545919176e-07,1.183164193156505e-08,11.472089524368945,8.81377840329954e-43,2.0256832765800624e-43,4.3510150403076535,1.7106827295728605e-07,2.023819232987103e-08,8.45274470016741,1.7758350428193808,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
William Shakespeare.,Charles Dickens., prose.,1.3573365545919176e-07,2.1175452284024217e-07,0.6409953073899431,0.0002239086154021833,0.00012116403564829404,1.8479791813152262,2.953598560551824e-07,4.181135148747235e-07,0.7064106888381235,0.5169180631637573,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
William Shakespeare.,Charles Dickens., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.3573365545919176e-07,2.1175452284024217e-07,0.6409953073899431,8.81377840329954e-43,1.5200345356032481e-43,5.798406678833558,1.7106827295728605e-07,2.486378944506793e-07,0.6880217246660274,1.686784891411662,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is William Shakespeare. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
Oscar Wilde.,Mark Twain., prose.,1.9035841251362958e-08,1.183164193156505e-08,1.6088926086055886,0.00021463775031084912,0.0003050243344427875,0.7036741862020457,2.9655162613680587e-08,3.618618717123266e-08,0.8195160897541558,0.3231475353240967,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
Oscar Wilde.,Mark Twain., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.9035841251362958e-08,1.183164193156505e-08,1.6088926086055886,4.716779556202736e-43,2.0256832765800624e-43,2.3284881751929256,3.7693303713473467e-08,2.023819232987103e-08,1.8624837188566077,0.6988543970510364,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
Oscar Wilde.,Charles Dickens., prose.,1.9035841251362958e-08,2.1175452284024217e-07,0.08989579535793205,0.00021463775031084912,0.00012116403564829404,1.7714641903632495,2.9655162613680587e-08,4.181135148747235e-07,0.07092610393750597,0.808819055557251,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
Oscar Wilde.,Charles Dickens., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.9035841251362958e-08,2.1175452284024217e-07,0.08989579535793205,4.716779556202736e-43,1.5200345356032481e-43,3.1030739405738648,3.7693303713473467e-08,2.486378944506793e-07,0.15159919125260468,0.6098042456433177,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Oscar Wilde. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
Mark Twain.,Charles Dickens., prose.,1.183164193156505e-08,2.1175452284024217e-07,0.055874329260449426,0.0003050243344427875,0.00012116403564829404,2.5174494462052213,3.618618717123266e-08,4.181135148747235e-07,0.08654632267047116,0.4856715202331543,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading prose. My favourite author is 
Mark Twain.,Charles Dickens., works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance.,1.183164193156505e-08,2.1175452284024217e-07,0.055874329260449426,2.0256832765800624e-43,1.5200345356032481e-43,1.3326560871698485,2.023819232987103e-08,2.486378944506793e-07,0.08139625045725099,0.08905015140771866,We've been discussing literary styles and historical contexts in literature. My favourite author is ,We've been discussing literary styles and historical contexts in literature. My favourite author is Mark Twain. I prefer reading,We've been discussing literary styles and historical contexts in literature. My favourite author is Charles Dickens. I prefer reading,We've been discussing literary styles and historical contexts in literature. I prefer reading works that bring out the contemporary social conventions and mores of its time rather than focusing on poetic richness and dramatic performance. My favourite author is 
